PHENOM,SIG,label,group,include,note
AF,Y,Ashfall Advisory,Other,TRUE,
AQ,Y,Air Quality (not a VTEC product),Other,FALSE,One row in 2010; not a VTEC phenomenon code.
AS,O,Air Stagnation Outlook,Other,FALSE,An outlook of possible conditions days ahead rather than an alert; left out.
AS,Y,Air Stagnation Advisory,Other,TRUE,
BH,S,Beach Hazards Statement,Coastal and lakeshore,TRUE,
BW,Y,Brisk Wind Advisory,Marine,TRUE,
BZ,A,Blizzard Watch,Winter,TRUE,Discontinued in 2017; Winter Storm Watches now cover blizzards.
BZ,W,Blizzard Warning,Winter,TRUE,
CF,A,Coastal Flood Watch,Coastal and lakeshore,TRUE,
CF,S,Coastal Flood Statement,Coastal and lakeshore,TRUE,
CF,W,Coastal Flood Warning,Coastal and lakeshore,TRUE,
CF,Y,Coastal Flood Advisory,Coastal and lakeshore,TRUE,
CW,Y,Cold Weather Advisory,Heat and cold,TRUE,Replaced the Wind Chill Advisory (WC.Y) under NWS Hazard Simplification.
DS,W,Dust Storm Warning,"Dust, fog and smoke",TRUE,
DS,Y,Dust Advisory,"Dust, fog and smoke",TRUE,
DU,W,Blowing Dust Warning,"Dust, fog and smoke",TRUE,
DU,Y,Blowing Dust Advisory,"Dust, fog and smoke",TRUE,
EC,A,Extreme Cold Watch,Heat and cold,TRUE,Replaced the Wind Chill Watch (WC.A) under NWS Hazard Simplification.
EC,W,Extreme Cold Warning,Heat and cold,TRUE,Replaced the Wind Chill Warning (WC.W) under NWS Hazard Simplification.
EH,A,Excessive Heat Watch,Heat and cold,TRUE,Renamed Extreme Heat Watch (XH.A) under NWS Hazard Simplification.
EH,W,Excessive Heat Warning,Heat and cold,TRUE,Renamed Extreme Heat Warning (XH.W) under NWS Hazard Simplification.
EW,W,Extreme Wind Warning,Tropical,TRUE,
FA,A,Flood Watch,Flooding,TRUE,Absorbed the Flash Flood Watch (FF.A) under NWS Hazard Simplification.
FA,W,Flood Warning (areal),Flooding,TRUE,
FA,Y,Flood Advisory (areal),Flooding,TRUE,
FF,A,Flash Flood Watch,Flooding,TRUE,Folded into the Flood Watch (FA.A) under NWS Hazard Simplification.
FF,W,Flash Flood Warning,Flooding,TRUE,
FG,Y,Dense Fog Advisory,"Dust, fog and smoke",TRUE,
FL,A,Flood Watch (river point),Flooding,TRUE,
FL,S,Flood Statement (river point),Flooding,TRUE,
FL,W,Flood Warning (river point),Flooding,TRUE,
FL,Y,Flood Advisory (river point),Flooding,TRUE,
FR,Y,Frost Advisory,Frost and freeze,TRUE,
FW,A,Fire Weather Watch,Fire weather,TRUE,
FW,W,Red Flag Warning,Fire weather,TRUE,
FZ,A,Freeze Watch,Frost and freeze,TRUE,
FZ,W,Freeze Warning,Frost and freeze,TRUE,
GL,A,Gale Watch,Marine,TRUE,
GL,W,Gale Warning,Marine,TRUE,
HF,A,Hurricane Force Wind Watch,Marine,TRUE,
